Name,Price,Vehicle Summary
2010 Kia Forte,"$3,700","['Exterior:', 'White']"
2017 Porsche 911,"$105,000","['Exterior:', 'Blue']"
2004 Porsche 911,"$39,500","['Exterior:', 'Black']"
2014 Honda Civic Coupe,"$16,100","['Exterior:', 'Black']"
2019 Porsche 718 Cayman,"$63,495","['Exterior:', 'Silver']"
2006 Ford F-150,"$7,900","['Exterior:', 'Green']"
2015 Dodge Journey,SOLD,"['Exterior:', 'Silver']"
2017 Porsche 911,"$90,000","['Exterior:', 'Red']"
2007 Audi A4,"$5,500","['Exterior:', 'Black']"
2012 Mercedes-Benz C-Class,"$11,040","['Exterior:', 'White']"
2500,"$20,000","['Exterior:', 'White']"
2015 Ford Super Duty F-250 SRW,"$37,101","['Exterior:', 'Gray']"
2004 Ford Police Interceptor,"$1,700","['Exterior:', 'Silver']"
2001 Jaguar S-TYPE,"$7,500","['Exterior:', 'Red']"
2005 Ford Expedition,"$3,800","['Exterior:', 'Silver']"
2015 Volkswagen Jetta Sedan,"$6,500","['Exterior:', 'Black']"
2016 Chevrolet Suburban,"$46,700","['Exterior:', 'Black']"
2006 Mazda 3,"$3,900","['Exterior:', 'Gray']"
2015 Nissan Sentra,"$7,829","['Exterior:', 'Gray']"
2010 Honda Civic Coupe,"$6,000","['Exterior:', 'Black']"
2016 GMC Yukon XL,"$48,970","['Exterior:', 'Tan']"
2010 Toyota Venza,"$9,800","['Exterior:', 'Gold']"
2011 Chevrolet Cruze,"$4,389","['Exterior:', 'Gray']"
2019 GMC Yukon XL,"$68,500","['Exterior:', 'Black']"
